_id,org_id,device_id,device_name,serial_number,device_category,created_at,last_updated,warranty_id,warranty_number,warranty_type,warranty_start,warranty_end,_class,deleted,_op,_collection,_source_ts_ms,_db,_nilus_load_id,_nilus_id,warranty_name,warranty_category,warranty_delivery_type,warranty_description,warranty_duration,warranty_service_profile,warranty_response_profile
warr_000,org_123,dev_000,Device_0,SN000000,Hardware,1768222057979,1768222057979,wid_000,WNUM000000,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_0,783d3135-ea4c-4b19-8b93-063dd5a25473,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_001,org_123,dev_001,Device_1,SN000001,Hardware,1768222057979,1768222057979,wid_001,WNUM000001,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_1,4349139f-99d6-47b5-93ac-7d0664849dd4,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_002,org_123,dev_002,Device_2,SN000002,Hardware,1768222057979,1768222057979,wid_002,WNUM000002,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_2,238a98cb-e87f-455f-9428-c991796c13dc,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_003,org_123,dev_003,Device_3,SN000003,Hardware,1768222057979,1768222057979,wid_003,WNUM000003,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_3,4d9b9988-fa10-490f-a801-0407cf7e539c,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_004,org_123,dev_004,Device_4,SN000004,Hardware,1768222057979,1768222057979,wid_004,WNUM000004,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_4,5ff1549b-668a-4986-af04-fc74ec8ebc1c,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_005,org_123,dev_005,Device_5,SN000005,Hardware,1768222057979,1768222057979,wid_005,WNUM000005,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_5,467e748a-121c-40ac-9b00-dd1e9df39906,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_006,org_123,dev_006,Device_6,SN000006,Hardware,1768222057979,1768222057979,wid_006,WNUM000006,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_6,d9ca90a5-3a28-4d62-abcb-7a7f8cbfa169,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_007,org_123,dev_007,Device_7,SN000007,Hardware,1768222057979,1768222057979,wid_007,WNUM000007,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_7,efb2790e-a03b-4b37-ab36-bd2a9f05e460,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_008,org_123,dev_008,Device_8,SN000008,Hardware,1768222057979,1768222057979,wid_008,WNUM000008,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_8,4a124cae-12b8-408c-9685-2c979a399efb,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_009,org_123,dev_009,Device_9,SN000009,Hardware,1768222057979,1768222057979,wid_009,WNUM000009,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_9,69e3b513-5d49-4fad-82b4-bf517abca64a,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
