_id,org_id,subscription_id,device_id,package_id,operation_type,status,actual_date_time,display_date_time,app_package,_class,deleted,_op,_collection,_source_ts_ms,_db,_nilus_load_id,_nilus_id
op_000,org_123,sub_000,dev_000,pkg_000,install,completed,1768222110545,1768222110545,com.company.app0,device_operation,False,c,device_operations,1768222110545,inventory,load_0,e8afbb21-4a48-444b-909e-09d420c2d1b9
op_001,org_123,sub_001,dev_001,pkg_001,install,completed,1768222050545,1768222050545,com.company.app1,device_operation,False,c,device_operations,1768222110545,inventory,load_1,a4901443-e29f-4f1d-a75a-c0d0d696bbe5
op_002,org_123,sub_002,dev_002,pkg_002,install,completed,1768221990545,1768221990545,com.company.app2,device_operation,False,c,device_operations,1768222110545,inventory,load_2,dc59c247-97b9-405b-8aae-d123b876086d
op_003,org_123,sub_003,dev_003,pkg_003,install,completed,1768221930545,1768221930545,com.company.app3,device_operation,False,c,device_operations,1768222110545,inventory,load_3,56952f40-6913-417f-b242-52de514ba377
op_004,org_123,sub_004,dev_004,pkg_004,install,completed,1768221870545,1768221870545,com.company.app4,device_operation,False,c,device_operations,1768222110545,inventory,load_4,0ceddde2-749c-473c-9169-043c1d7f870b
op_005,org_123,sub_005,dev_005,pkg_005,install,completed,1768221810545,1768221810545,com.company.app5,device_operation,False,c,device_operations,1768222110545,inventory,load_5,741ec4c9-9669-4abe-be29-c123fde4416b
op_006,org_123,sub_006,dev_006,pkg_006,install,completed,1768221750545,1768221750545,com.company.app6,device_operation,False,c,device_operations,1768222110545,inventory,load_6,76f626db-60df-4f0e-89ea-81247a334bd9
op_007,org_123,sub_007,dev_007,pkg_007,install,completed,1768221690545,1768221690545,com.company.app7,device_operation,False,c,device_operations,1768222110545,inventory,load_7,c855cd46-d6f7-49df-8117-20365584876b
op_008,org_123,sub_008,dev_008,pkg_008,install,completed,1768221630545,1768221630545,com.company.app8,device_operation,False,c,device_operations,1768222110545,inventory,load_8,59135322-2d48-4d85-83cd-17df30590ad9
op_009,org_123,sub_009,dev_009,pkg_009,install,completed,1768221570545,1768221570545,com.company.app9,device_operation,False,c,device_operations,1768222110545,inventory,load_9,62733214-678d-4812-acff-ff8777cc4824
op_010,org_123,sub_010,dev_010,pkg_010,install,completed,1768221510545,1768221510545,com.company.app10,device_operation,False,c,device_operations,1768222110545,inventory,load_10,da6c05be-35dd-4a53-8725-d02cea81a8b3
op_011,org_123,sub_011,dev_011,pkg_011,install,completed,1768221450545,1768221450545,com.company.app11,device_operation,False,c,device_operations,1768222110545,inventory,load_11,b0f10529-ba9a-4527-85f2-7c533d17bff9
op_012,org_123,sub_012,dev_012,pkg_012,install,completed,1768221390545,1768221390545,com.company.app12,device_operation,False,c,device_operations,1768222110545,inventory,load_12,02812662-7ee9-4ac2-98e3-7ea8a91f1513
op_013,org_123,sub_013,dev_013,pkg_013,install,completed,1768221330545,1768221330545,com.company.app13,device_operation,False,c,device_operations,1768222110545,inventory,load_13,67a60658-d6b5-4856-a38c-af03d37405df
op_014,org_123,sub_014,dev_014,pkg_014,install,completed,1768221270545,1768221270545,com.company.app14,device_operation,False,c,device_operations,1768222110545,inventory,load_14,617e3a28-91fd-4f71-9ef4-dd5dd7149478
op_015,org_123,sub_015,dev_015,pkg_015,install,completed,1768221210545,1768221210545,com.company.app15,device_operation,False,c,device_operations,1768222110545,inventory,load_15,8ed26004-16f5-4954-9023-3f71b95d34f9
op_016,org_123,sub_016,dev_016,pkg_016,install,completed,1768221150545,1768221150545,com.company.app16,device_operation,False,c,device_operations,1768222110545,inventory,load_16,8202836d-e4d1-4a19-97e7-a87539b612b5
op_017,org_123,sub_017,dev_017,pkg_017,install,completed,1768221090545,1768221090545,com.company.app17,device_operation,False,c,device_operations,1768222110545,inventory,load_17,92f631c1-f6d4-482a-a1ad-5b5bc7872fc0
op_018,org_123,sub_018,dev_018,pkg_018,install,completed,1768221030545,1768221030545,com.company.app18,device_operation,False,c,device_operations,1768222110545,inventory,load_18,0dfd4b8e-5f75-4e04-aaa8-372a45c5e984
op_019,org_123,sub_019,dev_019,pkg_019,install,completed,1768220970545,1768220970545,com.company.app19,device_operation,False,c,device_operations,1768222110545,inventory,load_19,5b3d124b-5c61-4e3e-bed7-f189c7f8d486
